"Date","Price","Open","High","Low","Change %"
"12/01/2023","1.939","2.379","2.379","1.830","-18.19%"
"11/01/2023","2.370","2.642","2.661","2.312","-9.68%"
"10/01/2023","2.624","2.746","2.855","2.577","-3.28%"
"09/01/2023","2.713","2.394","2.864","2.363","13.18%"
"08/01/2023","2.397","2.433","2.668","2.357","-1.76%"
"07/01/2023","2.440","2.423","2.668","2.284","1.08%"
"06/01/2023","2.414","2.211","2.528","2.154","10.03%"
"05/01/2023","2.194","2.286","2.477","2.077","-2.62%"
"04/01/2023","2.253","2.245","2.504","2.039","0.45%"
"03/01/2023","2.243","2.688","2.768","1.813","-14.65%"
"02/01/2023","2.628","2.252","2.697","1.993","16.49%"
"01/01/2023","2.256","2.544","2.552","1.953","-11.08%"
"12/01/2022","2.537","1.829","2.546","1.737","31.72%"
"11/01/2022","1.926","1.969","2.258","1.808","-3.41%"
"10/01/2022","1.994","1.960","2.366","1.594","2.05%"
"09/01/2022","1.954","1.415","2.252","1.240","43.57%"
"08/01/2022","1.361","0.588","1.423","0.423","140.46%"
"07/01/2022","0.566","1.120","1.194","0.532","-51.00%"
"06/01/2022","1.155","0.930","1.796","0.917","23.93%"
"05/01/2022","0.932","0.775","0.992","0.635","20.73%"
"04/01/2022","0.772","0.422","0.828","0.349","83.81%"
"03/01/2022","0.420","-0.078","0.594","-0.326","-1,124.39%"
"02/01/2022","-0.041","-0.176","0.170","-0.200","-76.16%"
"01/01/2022","-0.172","-0.345","-0.148","-0.361","-51.69%"
