"Date","Price","Open","High","Low","Change %"
"12/01/2023","2.271","2.766","2.766","2.141","-17.54%"
"11/01/2023","2.754","3.099","3.109","2.704","-10.38%"
"10/01/2023","3.073","3.239","3.324","3.038","-4.39%"
"09/01/2023","3.214","2.905","3.366","2.858","11.37%"
"08/01/2023","2.886","2.948","3.161","2.871","-2.30%"
"07/01/2023","2.954","2.944","3.185","2.783","0.34%"
"06/01/2023","2.944","2.658","2.987","2.593","12.02%"
"05/01/2023","2.628","2.823","2.918","2.582","-3.98%"
"04/01/2023","2.737","2.755","2.956","2.562","-0.11%"
"03/01/2023","2.740","3.297","3.387","2.416","-15.04%"
"02/01/2023","3.225","2.765","3.298","2.464","17.19%"
"01/01/2023","2.752","2.977","2.981","2.407","-7.96%"
"12/01/2022","2.990","2.248","2.991","2.119","28.16%"
"11/01/2022","2.333","2.498","2.745","2.236","-7.57%"
"10/01/2022","2.524","2.613","2.889","2.210","-1.79%"
"09/01/2022","2.570","2.021","2.833","1.847","31.66%"
"08/01/2022","1.952","1.041","1.989","0.884","88.96%"
"07/01/2022","1.033","1.688","1.832","1.022","-39.02%"
"06/01/2022","1.694","1.526","2.471","1.500","12.11%"
"05/01/2022","1.511","1.326","1.605","1.198","14.99%"
"04/01/2022","1.314","0.664","1.325","0.616","103.72%"
"03/01/2022","0.645","0.220","0.719","-0.060","154.94%"
"02/01/2022","0.253","-0.093","0.429","-0.097","-420.25%"
"01/01/2022","-0.079","-0.236","-0.073","-0.268","-63.43%"
