"Date","Price","Open","High","Low","Change %"
"12/29/2023","12.890","13.030","13.030","12.640","-0.15%"
"12/28/2023","12.910","12.860","13.010","12.760","0.23%"
"12/27/2023","12.880","13.760","13.760","12.680","-0.77%"
"12/26/2023","12.980","13.880","12.980","12.600","1.33%"
"12/25/2023","12.810","12.720","12.830","12.690","0.95%"
"12/22/2023","12.690","13.860","13.860","12.680","-0.86%"
"12/21/2023","12.800","12.910","12.950","12.740","0.00%"
"12/20/2023","12.800","13.010","13.090","12.730","-0.78%"
"12/19/2023","12.900","12.900","13.110","12.890","-0.39%"
"12/18/2023","12.950","13.070","13.230","12.880","-1.07%"
"12/15/2023","13.090","13.170","13.170","12.910","0.38%"
"12/14/2023","13.040","13.200","13.200","12.940","-0.31%"
"12/13/2023","13.080","13.590","13.590","12.990","0.38%"
"12/12/2023","13.030","13.120","13.120","12.840","0.00%"
"12/11/2023","13.030","13.570","13.570","12.710","1.40%"
"12/08/2023","12.850","13.290","13.290","12.820","-0.16%"
"12/07/2023","12.870","12.960","12.960","12.720","0.39%"
"12/06/2023","12.820","12.820","12.820","12.650","-0.23%"
"12/05/2023","12.850","12.850","12.850","12.750","0.55%"
"12/04/2023","12.780","12.630","12.790","12.620","2.08%"
"12/01/2023","12.520","12.360","12.560","12.340","1.05%"
"11/30/2023","12.390","13.020","13.020","12.280","0.57%"
"11/29/2023","12.320","12.290","12.320","12.270","0.33%"
"11/28/2023","12.280","12.340","12.400","12.260","0.00%"
"11/27/2023","12.280","12.280","12.280","12.250","0.00%"
"11/24/2023","12.280","12.290","12.330","12.220","0.33%"
"11/23/2023","12.240","12.370","12.370","12.170","0.41%"
"11/22/2023","12.190","12.210","12.360","12.160","-0.97%"
"11/21/2023","12.310","12.590","12.590","12.270","-1.20%"
"11/20/2023","12.460","13.570","13.570","12.360","0.00%"
"11/17/2023","12.460","13.250","13.250","12.320","0.00%"
"11/16/2023","12.460","12.650","12.650","12.150","0.16%"
"11/15/2023","12.440","12.630","12.650","12.380","-0.88%"
"11/14/2023","12.550","13.400","13.400","12.370","1.37%"
"11/13/2023","12.380","12.380","12.520","12.210","0.32%"
"11/10/2023","12.340","12.340","12.340","12.160","-0.32%"
"11/09/2023","12.380","12.600","12.640","12.330","-2.13%"
"11/08/2023","12.650","12.590","12.730","12.530","-0.39%"
"11/07/2023","12.700","12.580","12.770","12.500","1.20%"
"11/06/2023","12.550","13.260","13.260","12.480","-1.41%"
"11/03/2023","12.730","13.260","13.260","12.620","-0.24%"
"11/02/2023","12.760","13.480","13.480","12.760","-2.82%"
"11/01/2023","13.130","13.490","13.490","13.110","-1.43%"
"10/31/2023","13.320","13.420","13.420","13.270","-0.37%"
"10/30/2023","13.370","13.370","13.370","13.160","0.91%"
"10/27/2023","13.250","13.870","13.870","13.030","1.45%"
"10/26/2023","13.060","13.160","13.160","12.920","0.62%"
"10/25/2023","12.980","13.140","13.140","12.980","0.08%"
"10/24/2023","12.970","13.140","13.140","12.970","-0.54%"
"10/23/2023","13.040","13.080","13.130","13.030","-0.31%"
"10/20/2023","13.080","13.170","13.170","13.020","0.00%"
"10/19/2023","13.080","13.010","13.100","12.930","0.54%"
"10/18/2023","13.010","13.200","13.200","12.880","0.70%"
"10/17/2023","12.920","13.190","13.190","12.800","-0.31%"
"10/16/2023","12.960","13.110","13.110","12.790","-0.38%"
"10/13/2023","13.010","13.080","13.080","12.940","0.00%"
"10/12/2023","13.010","13.020","13.060","12.880","-0.61%"
"10/11/2023","13.090","13.210","13.210","13.050","0.00%"
"10/10/2023","13.090","13.140","13.190","13.050","0.23%"
"10/09/2023","13.060","13.080","13.120","13.040","0.00%"
"10/06/2023","13.060","13.090","13.090","13.030","0.31%"
"10/05/2023","13.020","13.020","13.060","12.910","0.46%"
"10/04/2023","12.960","12.940","13.000","12.820","1.01%"
"10/03/2023","12.830","12.930","12.930","12.760","0.08%"
"10/02/2023","12.820","12.810","12.920","12.740","0.55%"
"09/29/2023","12.750","12.820","12.820","12.660","0.39%"
"09/28/2023","12.700","12.530","12.720","12.500","1.44%"
"09/27/2023","12.520","12.510","12.520","12.400","1.13%"
"09/26/2023","12.380","12.480","12.480","12.300","0.24%"
"09/25/2023","12.350","12.310","12.470","12.270","-0.32%"
"09/22/2023","12.390","12.480","12.480","12.180","0.98%"
"09/21/2023","12.270","12.450","12.450","12.190","-0.16%"
"09/20/2023","12.290","12.440","12.440","12.180","0.24%"
"09/19/2023","12.260","12.250","12.260","11.980","1.16%"
"09/18/2023","12.120","12.210","12.260","12.090","-1.22%"
"09/15/2023","12.270","12.230","12.530","12.030","0.08%"
"09/14/2023","12.260","12.010","12.280","11.870","1.66%"
"09/13/2023","12.060","12.340","12.340","11.850","-0.17%"
"09/12/2023","12.080","12.340","12.340","12.050","-2.34%"
