"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.241","3.603","3.621","3.240","-10.42%"
"11/01/2023","3.618","3.992","4.009","3.577","-9.62%"
"10/01/2023","4.003","4.005","4.062","3.880","2.98%"
"09/01/2023","3.887","3.711","3.964","3.697","4.46%"
"08/01/2023","3.721","3.681","3.805","3.672","0.19%"
"07/01/2023","3.714","3.718","3.850","3.599","-0.70%"
"06/01/2023","3.740","3.562","3.755","3.535","4.59%"
"05/01/2023","3.576","3.397","3.663","3.301","6.33%"
"04/01/2023","3.363","3.351","3.435","3.243","0.69%"
"03/01/2023","3.340","3.919","3.999","3.227","-14.32%"
"02/01/2023","3.898","3.421","3.899","3.235","12.89%"
"01/01/2023","3.453","3.854","3.857","3.315","-8.92%"
"12/01/2022","3.791","3.778","3.818","3.658","-0.66%"
"11/01/2022","3.816","4.195","4.339","3.750","-9.74%"
"10/01/2022","4.228","4.145","4.695","4.047","0.43%"
"09/01/2022","4.210","3.786","4.530","3.520","13.91%"
"08/01/2022","3.696","3.088","3.754","3.000","22.14%"
"07/01/2022","3.026","3.502","3.503","2.995","-14.54%"
"06/01/2022","3.541","2.784","3.708","2.784","27.47%"
"05/01/2022","2.778","2.830","3.000","2.658","-0.07%"
"04/01/2022","2.780","2.366","3.074","2.366","17.25%"
"03/01/2022","2.371","1.952","2.466","1.927","19.09%"
"02/01/2022","1.991","1.941","2.185","1.941","-0.75%"
"01/01/2022","2.006","1.659","2.035","1.659","19.98%"
