"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.872","4.332","4.366","3.803","-10.94%"
"11/01/2023","4.347","4.926","4.939","4.264","-11.78%"
"10/01/2023","4.928","4.659","5.031","4.561","6.65%"
"09/01/2023","4.621","4.211","4.756","4.138","9.95%"
"08/01/2023","4.203","4.083","4.462","4.021","2.88%"
"07/01/2023","4.085","4.008","4.600","3.829","2.12%"
"06/01/2023","4.001","3.699","4.320","3.620","7.90%"
"05/01/2023","3.708","3.491","3.926","3.243","6.79%"
"04/01/2023","3.472","3.592","3.697","3.272","-1.98%"
"03/01/2023","3.542","4.100","4.261","3.272","-13.35%"
"02/01/2023","4.088","3.581","4.494","3.171","14.39%"
"01/01/2023","3.574","3.935","3.935","3.349","-9.93%"
"12/01/2022","3.968","3.694","4.000","3.508","7.54%"
"11/01/2022","3.690","4.152","4.350","3.677","-10.99%"
"10/01/2022","4.145","3.964","4.440","3.671","4.17%"
"09/01/2022","3.980","3.314","4.183","3.256","20.17%"
"08/01/2022","3.312","2.706","3.315","2.565","23.15%"
"07/01/2022","2.689","3.081","3.198","2.656","-12.48%"
"06/01/2022","3.073","2.889","3.605","2.860","6.91%"
"05/01/2022","2.874","2.982","3.202","2.716","-3.71%"
"04/01/2022","2.985","2.445","3.049","2.445","22.39%"
"03/01/2022","2.438","1.827","2.656","1.622","35.22%"
"02/01/2022","1.803","1.750","2.058","1.698","3.33%"
"01/01/2022","1.745","1.493","1.859","1.461","21.51%"
